,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
224,Rondae HollisJefferson,PF,25.0,TOR,60.0,6.0,18.7,2.6,5.5,0.471,0.1,0.4,0.13,2.5,5.1,0.4970000000000001,0.476,1.8,2.4,0.7340000000000001,1.8,2.9,4.7,1.8,0.8,0.4,1.0,1.9,7.0,
225,Richaun Holmes,C,26.0,SAC,44.0,38.0,28.2,5.1,7.8,0.648,0.0,0.0,,5.1,7.8,0.648,0.648,2.1,2.7,0.7879999999999999,2.9,5.3,8.1,1.0,0.9,1.3,1.2,3.8,12.3,4767000.0
226,Rodney Hood,SF,27.0,POR,21.0,21.0,29.5,4.1,8.2,0.506,1.7,3.4,0.493,2.5,4.8,0.515,0.608,1.0,1.3,0.778,0.5,3.0,3.4,1.5,0.8,0.2,0.9,2.2,11.0,5718000.0
227,Al Horford,C,33.0,PHI,67.0,61.0,30.2,4.8,10.6,0.45,1.5,4.2,0.35,3.3,6.4,0.516,0.52,0.9,1.2,0.763,1.5,5.3,6.8,4.0,0.8,0.9,1.2,2.1,11.9,28000000.0
228,Talen HortonTucker,SG,19.0,LAL,6.0,1.0,13.5,2.3,5.0,0.467,0.7,2.2,0.308,1.7,2.8,0.588,0.5329999999999999,0.3,0.7,0.5,0.3,0.8,1.2,1.0,1.3,0.2,1.0,1.7,5.7,
229,Danuel House,SF,26.0,HOU,63.0,52.0,30.4,3.7,8.6,0.4270000000000001,2.0,5.6,0.363,1.6,2.9,0.5489999999999999,0.546,1.2,1.4,0.8109999999999999,0.9,3.3,4.2,1.3,1.1,0.5,0.9,2.1,10.5,3540000.0
230,Dwight Howard,C,34.0,LAL,69.0,2.0,18.9,2.9,4.0,0.7290000000000001,0.0,0.1,0.6,2.9,3.9,0.732,0.735,1.6,3.1,0.514,2.5,4.9,7.3,0.7,0.4,1.1,1.2,3.2,7.5,2564753.0
231,William Howard,PF,26.0,HOU,2.0,0.0,6.5,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,0.5,0.5,0.0,79568.0
232,Kevin Huerter,SG,21.0,ATL,56.0,48.0,31.4,4.5,10.9,0.413,2.3,6.0,0.38,2.2,4.9,0.453,0.517,0.9,1.1,0.828,0.6,3.4,4.1,3.8,0.9,0.5,1.6,2.5,12.2,2636280.0
233,DeAndre Hunter,SF,22.0,ATL,63.0,62.0,32.0,4.4,10.8,0.41,1.7,4.8,0.355,2.7,6.0,0.454,0.489,1.7,2.3,0.764,0.7,3.8,4.5,1.8,0.7,0.3,1.6,2.9,12.3,
234,Chandler Hutchison,SF,23.0,CHI,28.0,10.0,18.8,2.9,6.3,0.457,0.4,1.4,0.316,2.4,4.9,0.496,0.491,1.6,2.8,0.59,0.6,3.2,3.9,0.9,1.0,0.3,1.0,1.7,7.8,2332320.0
